Video_ID,Channel_Name,Title,Content_Category,Published_Date,Upload_Hour,Duration_Seconds,Has_Captions,Tags_Count,Views,Likes,Comments,Channel_Subscribers,Age_in_Days,Engagement_Rate_%,Views_Per_Day,Viral_Multiplier
frz-mzhyrBA,Panchali Kodi,A/L මගේ කතාව | BIO | Panchali,A/L Content,2024-06-01,5,2959,False,25,285256,14045,1490,59700,816,5.45,349.58,4.78
i5ne8YiBtZE,child education,special education #education #special #school #teaching #shorts #youtubeshorts #shortsvideo,A/L Content,2023-02-23,14,13,False,0,445421,3088,96,1410,1280,0.71,347.99,315.9
x2k4Rt4aoOA,Sithumi Skills ,Study Motivation 🌈🌷✍️ #studentlife #aesthetic #studywithme #sithumiskills #studyvlog #shorts #vlog,Motivation & Tips,2025-10-10,10,23,False,10,110065,5458,172,10500,320,5.12,343.95,10.48
RUoR306-wCw,Shan Creation,Banking Assistant Jobs | Government Bank Jobs | Shan Creation | HDFC Bank Jobs | After A/L Jobs,A/L Content,2024-07-22,5,15,False,0,262378,1963,27,70400,765,0.76,342.98,3.73
Vok65EzkBaU,SL Top Knowledge,ලංකාවේ වැඩිම වැටුපක් ගෙවන රැකියා 😱 - Top 10 Highest paying jobs in Sri Lanka #top10 #viral #shorts,A/L Content,2024-07-14,9,37,False,15,261757,9037,41,1880,773,3.47,338.62,139.23
ODXWCvvaAr0,ILAKKAYA Sinhala Motivations,A/l & O/l motivation |Exam motivation sinhala |SInhala exam motivation video by ILAKKAYA |Sinhala,A/L Content,2021-03-22,12,253,False,20,649703,30231,1756,57800,1983,4.92,327.64,11.24
sHuSLyg1wyg,Janaka sir History class,grade 6 history sinhala medium| 6 වසර ඉතිහාසය | history grade 6 sinhala medium| lesson 2| part 1,General Education,2021-03-03,4,670,False,20,653294,11836,0,183000,2002,1.81,326.32,3.57
PkETJqYrFXw,Solve For X,Grade 11 math questions to try,General Education,2023-05-13,11,8,False,0,388808,3667,46,3140,1201,0.95,323.74,123.82
0hQh25LmROw,NISAL GIMHAN SRILANKA🇱🇰,Charitha Dissanayaka Motivational Video,A/L Content,2024-02-15,3,60,False,0,298670,17324,159,3830,923,5.85,323.59,77.98
NRIwxDJc47o,Ravindu Bandaranayake,Government University Entrance Guide | Complete UGC Handbook Explained (All A/L Streams Sri Lanka),A/L Content,2026-03-01,18,4321,False,6,57566,3041,290,198000,178,5.79,323.4,0.29
UXxt4QrQSCs,Olympiad Junior,Olympiad Maths | Olympiad Genius | Olympiad Junior,General Education,2022-02-05,16,15,False,9,533228,2111,963,7480,1663,0.58,320.64,71.29
XaVewD2hEn0,U Dreams,පාඩම් කරන්න හිතෙන්නේ නැද්ද.. | sinhala motivation speech by @AmilaDasanayake,Motivation & Tips,2025-10-18,4,652,False,0,99176,5600,329,11300,312,5.98,317.87,8.78
0d38Yb5J2Oo,Kv Iroshan,O/L Prasthara Prashna | O/L Maths in Sinhala by Kv Iroshan | Grade 11 Prasthara kv Iroshan,O/L Content,2023-06-05,9,1825,False,29,374143,15041,749,256000,1178,4.22,317.61,1.46
AYnjOL-1p1A,Ravindu Bandaranayake,O/L ICT Revision Seminar 5,O/L Content,2026-02-01,20,27867,False,0,64171,4028,181,198000,206,6.56,311.51,0.32
jkSyhtZ2vrs,SL_Maths,OL Mathematics 2025(2026)  | Paper 1 | Answers,O/L Content,2026-02-23,12,300,False,10,57241,867,105,1550,184,1.7,311.09,36.93
u30QEhxpdPs,Global Image,Commerce Section Dance | RÊVAURA '25   The Social Gathering of 2025 A L Batch of St Joseph’s Balika,A/L Content,2026-04-24,18,399,False,0,38151,652,0,571,124,1.71,307.67,66.81
LYPc21TKrB4,Study With Ravi,Short Study Vlog | Stationery Vlog  | @Study with ravi #short #srilanka #status #routine #morning,Motivation & Tips,2022-08-15,12,16,False,37,451071,10524,13,1830,1472,2.34,306.43,246.49
Z6t-XnzsUKo,Balsu's Success Academy,Best MBA Course for Commerce Group Students | 11th & 12th | Tamil | @BalsusSuccessAcademy,General Education,2023-10-08,7,59,False,0,322595,7903,54,17900,1053,2.47,306.36,18.02
7zx8hkY9Bug,Uni Life,💪❤️ #sinhala #motivation #studyadvice #exam #studymotivation #studytips #study #sinhalastudytips,Motivation & Tips,2024-07-02,2,15,False,0,238682,10578,33,37400,785,4.45,304.05,6.38
1f6-rZ1RnLk,Sen Tales,පෙළ පොත වැරදි..! I found a huge mistake in grade 11 history text book..!,General Education,2023-05-25,15,36,False,18,359339,17229,279,12100,1189,4.87,302.22,29.7
iMsaGk_m0F0,SLTOP 10,ශ්‍රි ලංකාවේ හොදම විශ්ව විද්‍යාල 10 🤯|Top 10 university in the Sri Lanka|#top10 #sinhala #shorts,General Education,2024-02-14,12,35,False,7,277029,12188,273,14200,924,4.5,299.81,19.51
-1TR8K14UeU,AL Kuppiya,"""2026 A/L නංගිලා මලිලාට island 1st ගෙන් පාඩමක්""",A/L Content,2024-09-11,14,39,False,28,208425,11103,167,119000,714,5.41,291.91,1.75
vQqXp_cQuHQ,Study diary,🌧 Rainy day + study vibes = perfect combo ☕📚 #StudyDiary#minivlog#sinhala#shorts,Motivation & Tips,2025-10-21,12,12,False,8,88938,2797,29,10900,309,3.18,287.83,8.16
AxTQJQO6feo,Hasith Gunawardana,"Nepenthus bite insect|බාඳුරා ශාකය,කෘමියෙක් ගිලගන්නා ආකාරය 😧😨|#Shorts",General Education,2021-11-28,20,38,False,0,497423,13728,53,29400,1732,2.77,287.2,16.92
h5Vo-7mJisQ,Fbs News,දකුණු පළාතේ විශිෂ්ටතම  පාසල් | Best Schools | Southern Province | Sri Lanka,General Education,2024-10-04,14,23,False,5,192847,3966,482,464,691,2.31,279.08,415.62
YAUb_g_UseQ,NXT Online,"ලස්සන Maths ටීචර් 🥰❤ Dilhara Samaranayaka Beauty,She Lankan Maths Teacher",General Education,2022-07-17,9,8,False,38,418800,6097,199,1040,1501,1.5,279.01,402.69
dlMzXEcThj8,kwyvlogs 🌊,"After school, but sri lankan style 🇱🇰😂☁ #srilanka #study #vlog #srilankatravel #studyvlog #exam",Motivation & Tips,2025-09-02,12,10,False,0,98354,0,15,258,358,0.02,274.73,381.22
j7Yu-fGBSA4,DP Education - A/L සිංහල මාධ්‍යය,01 ඒකකය - පරමාණුක ව්‍යුහය | 01 වන කොටස රසායන විද්‍යාව Chemistry Unit 01 | Atomic structure Part 01,General Education,2021-08-04,6,3964,False,20,506377,6991,546,258000,1848,1.49,274.01,1.96
fiFnPH08VKo,Online Accounting,උසස් පෙළ ගිණුම්කරණ ප්‍රමිත සියල්ලම | Advanced Level | Accounting Standards | A/L | Accounting,A/L Content,2021-08-10,13,11717,False,41,501499,11043,866,101000,1842,2.37,272.26,4.97
4XE4k6iDv9U,Kv Iroshan,O/L Exam Motivation - ඔබ අහන්නම ඕන කතාවක් |  How to Get 9As in the Final Month By Kv Iroshan,A/L Content,2025-02-06,12,950,False,20,151992,11585,1254,256000,566,8.45,268.54,0.59
N9xBUYeZuL0,Hasith Gunawardana,Diving|වතුර යට කිමිදෙමුද ? |Science Channel Bro | #Shorts,General Education,2021-11-01,15,18,False,0,470507,9739,46,29400,1759,2.08,267.49,16.0
4t_nMQQv5sg,PassMe,Oh No...🤣🤣 #passme #motivation #studytips  #shortsviral #shortstrending,A/L Content,2023-05-11,13,37,False,23,315733,14836,138,84900,1203,4.74,262.45,3.72
trEcqBW7vsY,PassMe,🤣🤣 #passme #motivation #studytips  #shortsviral #shortstrending #education,A/L Content,2023-05-12,12,56,False,23,312837,12860,122,84900,1202,4.15,260.26,3.68
60epGDkFNlk,Feb Girl,I am so grateful 😩❤️ |finally @university of peradeniya #universityofperadeniya #viralvideo #shorts,General Education,2024-08-13,8,14,False,0,191992,5715,60,34300,743,3.01,258.4,5.6
QPGl_UMHWV0,Study with Malsha,Paper notes ideas 📝💜✨#shortsvideo #cute #asthetic  #bulletjournal #studywithmalsha,A/L Content,2023-03-08,11,15,False,22,319539,5084,24,14500,1267,1.6,252.2,22.04
OPm3dWunl84,Ajantha Dissanayake Official,කුලක වැඩ්ඩන්ට අභියෝගයක් part 01 I Combined Maths I Ajantha Dissanayake,General Education,2024-12-19,13,60,False,0,153665,5857,67,191000,615,3.86,249.86,0.8
jehGVypJ4RI,Higher Education SriLanka,O/L Motivation in Sinhala | How to get 9A in 3 Months | Higher Education Srilanka FULL HD,O/L Content,2022-02-17,1,853,False,16,411671,26410,1978,128000,1651,6.9,249.35,3.22
OLt8ViPPiAc,Shenuka S Devinda,බුද්ධිමත් සිසුන්ගේ ලක්ෂණ  💯💫 | Motivation | Sinhala Motivation | Mr.ShenukaSri #motivation #shorts,Motivation & Tips,2024-03-12,11,24,False,16,223421,9631,35,76400,897,4.33,249.08,2.92
k7Y15uXnD_Y,ᵐʳ.𝐊𝐚𝐮𝐬𝐡𝐚𝐥𝐲𝐚_𝐎𝐟𝐟𝐢𝐜𝐢𝐚𝐥,Top 10 Popular Mixed Schools in Sri Lanka | Best Co-Educational Schools | ඔයාගේ ඉස්කෝලේ කියන් යමු 🥰,A/L Content,2024-10-30,12,31,False,12,165417,4955,370,137000,665,3.22,248.75,1.21
Ncl_dNv0yFg,Darshana Ukuwela - Physics,"සැබෑ ධෛර්යවන්තයෙකුගේ,ඔබ ඇසිය යුතුම කතාවක් | 2023 A/L Results | Dr Darshana Ukuwela - Physics",A/L Content,2024-06-17,12,711,False,12,198226,9092,560,304000,800,4.87,247.78,0.65
8_2IBnv91zQ,OWN LibrarY,ජයග්‍රාහකයෙක් විදිහට මේකෙන් අයින් වෙන්න🔥| Amila Dasanayake Sir | OWN LibrarY#shorts #sinhala,General Education,2024-04-23,2,19,False,20,206379,8674,62,861,855,4.23,241.38,239.7
VUyqrm0u7cU,Ishara  Madushan,Grade 6-11 Online Maths Classes | Whatsapp now 0112 902 405,General Education,2024-06-21,4,33,False,0,192122,8148,109,485000,796,4.3,241.36,0.4
JcHsCyjVAp4,Cambridge International Education,POV: opening your Cambridge IGCSE™ results on 13 August,General Education,2024-08-19,14,23,False,0,175658,3418,138,55100,737,2.02,238.34,3.19
gPuUlpAQ2dI,🎀Shani Herath🎀,රෑට පාඩම් කරන්න tips ටිකක්📚🎀 #studytips #studymotivation #sinhalastudytips #sinhalavlogs #studyvlog,Motivation & Tips,2025-07-09,13,26,False,12,98191,3392,22,2910,413,3.48,237.75,33.74
Rs_ZWClIioo,2024 OL memories,2024 OL exam | Ishara Madushan | maths | thank you so much for your valuable time sir 🤍🥹,O/L Content,2025-03-15,6,31,False,7,125408,5866,63,605,529,4.73,237.07,207.29
-bfFqlhCkeE,NISAL GIMHAN SRILANKA🇱🇰,CHARITHA DISSANAYAKA MOTIVATIONAL SPEECH,A/L Content,2025-03-03,8,14,False,0,124961,4137,22,3830,541,3.33,230.98,32.63
DE9UzBcUwSM,Amila Dasanayake,2027 A/L Chemistry New Class | Amila Dasanayake🔥 #2027al  #chemistry  #amiladasanayake,A/L Content,2025-03-30,6,110,False,16,118049,6460,100,328000,514,5.56,229.67,0.36
VhSWusucNyc,Akila Vimanga Senevirathna,Akila Vimanga Senevirathna - Sinhala | Episode 128 | A/L Art කරද්දි විෂයන් 3 තෝරා ගද්දී රජයේ නීති,A/L Content,2024-10-11,12,399,False,32,157079,4951,479,575000,684,3.46,229.65,0.27
F12imox5-_U,Maths Hub,ඔයාලටත් මේහෙම වෙලා  තියේද 😅#shorts,General Education,2022-07-03,10,18,False,25,346975,8799,25,7340,1515,2.54,229.03,47.27
ApyGiZ9o4JA,SL TUTUWA,Top 10 boys schools in Sri Lanka#shorts,General Education,2023-08-14,17,34,True,12,253482,6794,468,10600,1108,2.86,228.77,23.91
bvxNEOQZA8Q,UniSelector: No.1 A/L App,ඔයාගේ Z Score එකයි Degree එකයි බලාගමුද🤩 #trending #alevel  #uniselector,General Education,2025-01-15,10,39,False,0,134502,2538,101,23900,588,1.96,228.74,5.63
VcjRkY3vhSE,Darshana Ukuwela - Physics,A/L Private කලාම තියෙන වාසි සහ අවාසි මොනවද? | Dr Darshana Ukuwela - Physics,A/L Content,2025-07-20,10,619,False,5,91438,3311,340,304000,402,3.99,227.46,0.3
WwPfwegWUoI,Epy_Short,Top10 girl's school in srilanka 🇱🇰 #shortvideo #shotfeeds #shorts #feedshorts #fyp #2024 #srilanka,O/L Content,2024-02-29,14,36,False,0,204917,4803,320,491,909,2.5,225.43,417.35
5VMXxThTcao,Strong Future ,කෙල්ලොන්ටත් පොඩි target තිබිල බෑ #motivation #sinhalamotivation #inspire #sinhala #sigma #sigmarule,Motivation & Tips,2023-07-28,1,15,False,0,249066,10862,43,20100,1125,4.38,221.39,12.39
BwhDdnb2rHA,Hasith Gunawardana,කෘමි භක්ෂක ශාක|Grade 6 Science lessons Sinhala medium Episode | Science channel Bro|2021,General Education,2021-11-11,15,31,False,7,376982,9086,0,29400,1749,2.41,215.54,12.82
cJJHeO4XyGY,Best of best ,Best physics teachers in sri lanka♥️ #physics #srilanka #for you #boy #maths #girl #public,General Education,2024-05-29,4,38,False,0,175864,5162,706,170,819,3.34,214.73,1034.49
Si43DWwToyo,TAMIL QUIZ,How to Study Economics Tips Motivation speech 💯 | Aakash sir Motivation status 💯| @tamil quiz,Motivation & Tips,2022-04-28,5,36,False,0,332162,21313,67,2180,1581,6.44,210.1,152.37
EjOD_FE2zzg,SUCCESS JOURNEY,Never give up 💪 | sinhala motivation video | motivation status #shots #sinhala,Motivation & Tips,2022-11-11,3,19,False,23,289504,16091,52,49300,1384,5.58,209.18,5.87
3hu8zp-SnTE,𝐀..𝐀.𝐀𝐧𝐮𝐡𝐚𝐬,Bio කරාම වෙන දේ🙂 #trending #education #funny,General Education,2025-07-25,5,104,False,0,82898,2725,108,9150,397,3.42,208.81,9.06
GRkt5b8MSno,Shenuka S Devinda,ලෝකයේ අමාරු උපාධි 10 ක් ☘️🌼💯| Motivation |Sinhala Motivation #shenuka sri #lifetips #life #sinhala,Motivation & Tips,2024-04-25,13,24,False,0,171924,6634,92,76400,853,3.91,201.55,2.25
DGuYJ_KVRr8,20 minutesLk,"A/L Pass 3කින් OUSL Degree 20ක් 😍 | Open University Upcoming Degrees 2026 (Bsc, LLB,Teaching, BMS)",A/L Content,2026-05-11,12,825,False,17,21506,772,105,80100,107,4.08,200.99,0.27
OzwkPQWYbhA,Sadi Suba's Vlogs 🖤🌜,🌞😏 | Morning Study Routine #minivlog #studyroutine #sinhalavlog #motivation #exampreparation,Motivation & Tips,2025-10-12,4,59,False,0,63905,2763,0,7480,318,4.32,200.96,8.54
zy4nrlCnA6E,The Kotuwa,🏆 ශ්‍රී ලංකාවේ හොඳම බාලිකා පාසල් 10 | 🏆 Top 10 Best Girls' Schools in Sri Lanka #srilanka #top10,General Education,2025-03-25,14,51,False,34,103897,2565,198,1580,519,2.66,200.19,65.76
zAz3bI6Lw74,MIHIN LIYANARACHCHI,22 nd Birthday !,General Education,2023-09-26,6,58,False,0,211313,8367,145,96400,1065,4.03,198.42,2.19
7em-agc2cP4,SIYOMATHS,Indices & Logarithm |Darshaka ha laguganaka |Past Paper Discussion | Grade 10-11 & O/L |Siyomaths 🇱🇰,O/L Content,2020-06-12,12,2847,False,21,449422,18432,3386,245000,2266,4.85,198.33,1.83
CL58z14Sdmc,ateamacad,GCSE vs. IGCSE (the REAL differences),A/L Content,2022-02-03,15,48,False,26,327976,8818,249,3190,1665,2.76,196.98,102.81
rAXKGAUzs3M,Virul Weerakoon Biology,Rotary Class පටන් ගත්ත විදිහ  | Virul Weerakoon - Biology 🧬,General Education,2023-12-13,11,59,False,25,193829,9587,70,32100,987,4.98,196.38,6.04
c3wMjE7s5eM,Smarty Study ,Study motivation video - sinhala  #viral  #studytips #shorts,A/L Content,2024-04-19,7,21,False,0,168221,7040,14,4210,859,4.19,195.83,39.96
3EFszLBcpDA,Wishwa Productions,A/L Island Ranks Story #bio_karayo,A/L Content,2023-06-18,11,60,False,3,227885,21710,478,27800,1165,9.74,195.61,8.2
JjaUyCWKhPU,Vishwa Perera,#doctor #motivation medical students in Sri Lanka | Vishwa Perera,A/L Content,2025-12-04,14,15,False,0,51307,1761,36,27100,265,3.5,193.61,1.89
ixSMdSQrSg0,Nadeesha Koralage,2028 A/L Business Studies | Theory - Day 01 |  Nadeesha Koralage,A/L Content,2026-03-06,15,7394,False,0,33298,1495,86,26000,173,4.75,192.47,1.28
DCj4S8C-Cyo,Dr Science,Photosynthesis Experiment - Tamil - Dr Science,General Education,2022-12-26,14,60,False,22,256050,3697,29,10700,1339,1.46,191.22,23.93
u56EzXAvKQk,Arpita Karwa,Information & Communication Technology (ICT) |  NTA UGC NET Paper 1 Syllabus | Part 1,Past Papers & Revision,2021-06-20,4,812,False,22,356638,7320,60,657000,1893,2.07,188.4,0.54
Fbvexqq0BrY,Kv Iroshan,2020 O/L Maths Past Paper Discussion in Sinhala |2020 සාමාන්‍ය පෙළ ගණිතය පසුගිය විභාග ප්‍රශ්න පත්‍රය,O/L Content,2022-01-31,10,1674,False,22,313686,13457,589,256000,1668,4.48,188.06,1.23
idswG6x-4ng,Nahima's World,Looking for a notebook cover design? 🥴 #notebook #coverdesign #papercraft #stickynotes,Past Papers & Revision,2023-03-15,12,45,False,0,235071,6366,23,10200,1260,2.72,186.56,23.05
fALfyGiZ5ag,ILAKKAYA Sinhala Motivations,A/l & O/l motivation |Exam motivation sinhala |SInhala exam motivation video by ILAKKAYA |Sinhala,A/L Content,2021-12-18,13,237,False,20,319082,14713,702,57800,1712,4.83,186.38,5.52
khWIct_7Zz8,AL Kuppiya,A/L වලින් මං ලංකාවෙන්ම පළවෙනියා,A/L Content,2023-06-17,11,58,False,19,217233,13266,334,119000,1166,6.26,186.31,1.83
uJr532EfAvw,AL Kuppiya,"""NASA යන්න bio maths දෙකෙන්ම A/L  කරා 🚀🤯""",A/L Content,2024-09-10,12,42,False,27,132980,4973,45,119000,715,3.77,185.99,1.12
NhxpOT4iq7Y,Get My First Job,Like studying Geography? Here's what you could become... | GetMyFirstJob,Motivation & Tips,2023-03-05,12,18,False,34,233827,5262,92,777,1270,2.29,184.12,300.94
Am_-AN8p3s0,Ganitha Papers OL,25 Most Important Short Questions for O/L Mathematics | 2026 OL,O/L Content,2026-02-09,12,4838,False,10,35819,1894,175,172000,198,5.78,180.9,0.21
AWke7Ektb5w,Tasun Vithanage,Motivation නෙවේ Discipline තියාගන්න 🧠 #island1st #srilanka #education #alevel #alevels2024 #study,Motivation & Tips,2024-06-14,5,46,False,0,145090,11932,92,5640,803,8.29,180.68,25.73
ZweqfFiUX_M,SATHARA EDUCATION,2025 O/L Past Paper Books Will Release 23rd Of September,O/L Content,2025-09-17,7,35,False,8,61813,7,1,2370,343,0.01,180.21,26.08
GmLL2j39ghk,Janaka sir History class,grade 9 history sinhala medium lesson1| 9 වසර ඉතිහාසය- | history grade 9 sinhala medium-lesson 1,General Education,2021-02-12,9,960,False,18,359286,10561,1677,183000,2021,3.41,177.78,1.96
hO0lom1VtsM,Little Life Light,පාඩම් කරන්න කලින් මේ දේවල් කරලා බලන්න 📖️💫#study #fyp #viral #shorts#reels#trending #tips #motivation,A/L Content,2025-07-08,8,21,False,0,71795,3325,10,1270,414,4.65,173.42,56.53
NfIbBcCF9ww,Numbers & Numbers,A Nice Math Olympiad Algebraic Expansions Problem. #math #olympiad #mathematics #matholympiad #viral,General Education,2023-06-14,10,51,False,28,201185,0,133,51400,1169,0.07,172.1,3.91
brdAXYbJUW4,DD ACADEMY CHENNAI,11th ல COMMERCE GROUP எடுக்கணுமா?,General Education,2025-05-26,15,58,False,34,78136,1923,25,7460,457,2.49,170.98,10.47
mRcxSEE_koU,Nimnavee,නුවර පාසල් ? Top Schools in Kandy | Sri Lanka,General Education,2025-01-02,8,21,False,0,99583,2442,310,27000,601,2.76,165.7,3.69
PnDIXfCdbZM,Motivations for A/Ls,පැනපං Tech වලට | A/L Combined Maths | Ajantha Dissanayake,A/L Content,2023-08-30,0,60,False,0,180626,9285,267,47600,1092,5.29,165.41,3.79
ojGSdc3FT7s,Maths with Chathura Madushan ,2024 (2025) O/L Result Release උනාම A/L Subject තෝරගන්න විදිහ | Best A/L Subjects Sinhala Guide,A/L Content,2025-07-05,4,6,False,12,68868,511,127,38600,417,0.93,165.15,1.78
TN4mw5cHNyM,Rehansa Dewdini,මම A/L Econ වලට 90+ A එකක් ගන්න වැඩ කරපු විදිහ 😮‍💨💗,A/L Content,2025-03-17,13,775,False,0,86837,4766,616,22300,527,6.2,164.78,3.89
G_2vO9OpzTU,Study Squad,Physics වලට A එකක් ලේසියෙන්ම ගන්න විදිය | Dr Rosa Sir,General Education,2023-10-27,11,1144,False,0,169489,5569,121,2420,1034,3.36,163.92,70.04
Wm_M4nNP5Lo,Siwwana Manaya ( The 4th Dimension ),ඔයා සඳ මත ඉපදුනොත්? | What if you born in the moon? #Shorts #science #sinhala,General Education,2023-03-22,11,52,False,27,205054,8510,37,2520,1253,4.17,163.65,81.37
xncFPRkq9-A,A/L Minds,Real motivation🔥❤️😱 #trending #shorts  #motivation #chemistry #education #success #sinhala #viral,A/L Content,2025-01-07,3,27,False,17,97073,5660,46,11600,596,5.88,162.87,8.37
fQDPcMLEVaE,SITHIVILI_සිතිවිලි ,For girls🔥😎Sinhala motivation|Motivation|Sigma rules|success|Sithivili|Srilanka|@SITHIVILI_,Motivation & Tips,2025-01-30,18,22,False,0,92900,6818,18,8230,573,7.36,162.13,11.29
pJBRzSwbKgk,Maths Crew,"Time table sinhala - A/l , o/l & grade 5 - How to make time table -  නිවැරදි ලෙස කාල සටහනන් හදමු.",A/L Content,2021-09-11,13,321,False,22,284047,10238,301,54100,1810,3.71,156.93,5.25
WbbjqNXuAeI,Bio Api,විභාගේ ගොඩදාන සුපිරි සැළසුම - A/L Study Plan Sinhala - 📚 Exam Tips 2024 from Bio Api 🌱,A/L Content,2024-08-31,12,838,False,25,113756,6926,454,558000,725,6.49,156.9,0.2
i__FIVkwaC0,Goals 🌷🍃,Short Note 📒❤📚 #goals #minivlog #motivation #exam #shortnotes #2025 #A/L,A/L Content,2025-09-04,3,32,False,0,55534,1799,7,15300,356,3.25,155.99,3.63
7raJzRnAl_s,Combined Maths With Sola,2022 A/L Island 1st Congratulation Maneth Banula Perera,A/L Content,2023-09-04,12,35,False,0,166471,6197,105,17600,1087,3.79,153.15,9.46
tVpei6Xvgyo,Hasith Gunawardana,"බැලුන් එකකින් බිමට පනිමුද ? 😍
Grade 6 Science lessons |Sinhala medium | Sky diving #Shorts",General Education,2021-10-21,3,28,False,4,270057,9607,40,29400,1770,3.57,152.57,9.19
fYqiOJ6cfdw,Ishara  Madushan,Best Online Maths Class for Grade 6-11,General Education,2024-05-26,22,10,False,0,125082,4198,78,485000,822,3.42,152.17,0.26
AgIIonUwww0,සුධර්මාරාමේ රිලවා...,A/l Combined Maths Tharaka Bandara|| #trending #education,A/L Content,2025-03-15,3,34,False,0,80013,2280,63,62400,529,2.93,151.25,1.28
qdXCd1oZwEA,AL Kuppiya,"""Bio පාඩම් කරන්න කෙටි ක්‍රම හදමු 👽 """,General Education,2024-09-16,14,56,False,27,106925,4347,11,119000,709,4.08,150.81,0.9
vBcGr8yChsI,DrD Vlog,One of the BEST COURSES in SRI LANKA after AL #after12thcourses  #2025,A/L Content,2025-08-26,23,5,False,20,54778,393,3,7180,365,0.72,150.08,7.63
MzxKc2KKAHA, Divyanjali 🌷,"""Study with me"" | 10.00pm-2.00am | late night study time 🍃📚🌙  #lifestyle #night #study",Motivation & Tips,2025-06-13,21,39,False,0,65821,2767,38,13400,439,4.26,149.93,4.91
IXhkPIOr4rY,Ceylon10,ලංකාවේ හොඳම බාලිකා පාසල් 10 Top 10 Girls' Schools in Sri Lanka | #girl #school #top10 #video,O/L Content,2025-04-26,4,22,False,0,72812,1296,102,64700,487,1.92,149.51,1.13
ZqH0ExFmh8w,Life in scrubs 🩺,Mini day vlog ♥️ #medicalstudent #srilanka #shorts #studyvlog #motivation,Motivation & Tips,2025-07-26,12,75,False,0,59005,3615,26,11200,396,6.17,149.0,5.27
Us1HC9atzYA,Maths Hub,12  ගුණාකාරය  තප්පර දෙකෙන්  මනෝමයෙන්  ලියමු   Maths Tricks Sinhala   #SHORTS#,General Education,2022-02-06,15,47,False,26,246340,7431,75,7340,1662,3.05,148.22,33.56
xhxtuL6eOu0,AL Kuppiya,"""Bio ශීත ආතතිය ට කෙටි ක්‍රමයක්"" #alkuppiya",General Education,2024-09-05,12,45,False,27,105475,5112,60,119000,720,4.9,146.49,0.89
BSU_feZpRyE,GANDABBA,"How to get A pass for Sinhala , History , ICT  on the last day  |  Last day study plan for OL",Motivation & Tips,2023-05-25,14,2287,False,32,172204,11935,1848,33300,1189,8.0,144.83,5.17
sWy1FtWNMnI,Scipio Guides,How to select A/L subjects | ⚠️මේ වැරදි කරොත් කැම්පස් යන්න බෑ | Scipio Guides 🦊,A/L Content,2025-04-10,11,1198,False,43,72526,4448,188,100000,503,6.39,144.19,0.73
HUNPwk59tCw,Ravindu Bandaranayake,O/L ICT Revision Seminar 4,O/L Content,2025-03-08,21,22878,False,0,77045,4537,282,198000,536,6.25,143.74,0.39
KzL6FaG4pNU,Pimma - පිම්ම,Chemistry ද ICT ද වැඩියෙන් වටින්නේ? 🤨 #charithadissanayake #physics #chemistry #ICT #advancedlevel,General Education,2023-10-25,6,60,False,0,148275,6521,234,5050,1036,4.56,143.12,29.36
co6qLr3J6rY,Ishara  Madushan,පයිතගරස් ප්‍රමේය විනාඩි 5 න් | ජීවිතයට Maths | Episode 3 | By Ishara Madushan,General Education,2023-04-24,9,342,False,10,172545,7027,318,485000,1220,4.26,141.43,0.36
6Efjmsrt5AU,Edu Tips,⭕ Short term courses from the Open University of Sri Lanka.⛔https://youtu.be/lFUZfSlWZko,General Education,2023-05-07,7,11,False,7,169245,1767,73,27300,1207,1.09,140.22,6.2
2_83mxjJeAU,Kv Iroshan,O/L Maths Sinhala - Jyamithiya | Geometry Question from 2020 O/L Maths Examination | Kv Jyamithiya,O/L Content,2022-05-20,5,2060,False,22,212641,9748,496,256000,1559,4.82,136.4,0.83
EXiKUWGJM0A,MIHIN LIYANARACHCHI,Econ ඉගෙනගන්න විදිය වෙනස් කලා 😎 #mihinliyanarachchi #education #onlineecon #econonline #bestecon,General Education,2025-02-15,15,21,False,0,74959,3221,21,96400,557,4.33,134.58,0.78
weWXohdGvUA,Namal Dilanka,ඇත්තටම කොමස් ලේසි ද？😢❤️ ｜ Accounting with Namal Dilanka,A/L Content,2025-07-28,2,36,False,21,52819,3668,62,55100,394,7.06,134.06,0.96
ZvXoRoXm8DU,Techsiyo AL,Introduction about the subjects of AL technology | jobs related to the technology | Techsiyo,A/L Content,2022-09-05,1,750,False,6,194109,9462,580,18100,1451,5.17,133.78,10.72
JFZIEqVGAyY,sl dinuj creation ,lasantha_sir | a/l_accounting | motivation | #lasanthaniroshan,A/L Content,2025-06-29,16,34,False,0,56429,4405,25,1780,423,7.85,133.4,31.7
MBBsYBeMVaE,UNISTEM Sri Lanka,Never dream for success but work for it😍🙌 #shorts #university #graduation,General Education,2023-05-10,8,12,False,0,160378,2957,4,833,1204,1.85,133.2,192.53
noE1h73XPjQ,MIHIN LIYANARACHCHI,2025 AL | THE LAST DANCE 💃🕺| ECON MAGIC REVISION | LESSON 01 | DAY 01,A/L Content,2025-08-05,18,14154,False,0,51097,2387,167,96400,386,5.0,132.38,0.53
k6dIrLz6RaE,Geekpranee ,Open University of Sri Lanka,General Education,2024-12-08,8,455,False,15,82736,2984,379,122000,626,4.06,132.17,0.68
